1001,50,50,2017-08-29 12:59:36,2017-11-09 09:40:27,Monitor
1002,50,50,2017-03-15 23:35:22,2017-11-04 14:03:08,Mouse
1003,50,50,2017-08-21 21:18:13,2017-11-13 14:04:31,Keyboard
1004,50,50,2017-05-04 09:16:32,2017-11-19 21:38:26,Mousepad
1005,50,50,2017-07-06 14:51:38,2017-11-10 17:54:04,Mac-mini
1006,50,50,2017-04-29 00:08:24,2017-11-29 11:49:49,iMac
1007,50,50,2017-01-24 07:18:04,2017-11-12 05:01:14,HDMI-cable
1008,50,50,2017-11-12 01:11:45,2017-11-12 01:11:45,UPS
1009,50,50,2017-08-20 03:49:39,2017-11-25 23:44:54,Speakers
1010,50,50,2017-09-12 02:23:23,2017-11-17 11:05:22,Extension-cord
